

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-809.361,218.457,9753.98,-2.37209,1.15323,-0.0394968,2.73671e-05,-5.12855e-08,-3.85257e-06,-3.41726,3.71066,97.9588,402.699,0,18707.9,-536.829,1705.64,9659.27,-2.19336,-0.185301,-1.09052,-2.24212e-05,2.02535e-06,1.84493e-05,10.4621,-1.41265,-53.4596,-956.746,7942.58,19757.6
1,1,-834.534,123.171,9825.61,-2.80858,1.26616,0.53179,2.74146e-05,-1.93809e-07,-4.13762e-06,-3.42466,3.71196,97.9565,210.615,-350.037,19343.1,-570.378,1594.19,9662.57,-2.08799,-0.237481,-1.42275,-2.18974e-05,2.07297e-06,1.83541e-05,10.4583,-1.41164,-53.4585,-2511.78,6821.76,20283.2
1,2,-804.032,121.894,9786.18,-2.38703,0.80214,0.702961,2.73896e-05,-2.27525e-07,-4.33199e-06,-3.42545,3.71329,97.9536,662.848,-77.7861,19433,-578.308,1671.71,9666.79,-1.78442,-0.340779,-1.60881,-2.19969e-05,2.07072e-06,1.83586e-05,10.4574,-1.41231,-53.4571,-1232.76,7532.17,20222.9
1,3,-798.422,84.8507,9770.2,-2.17724,0.464677,0.395411,2.72711e-05,-1.21143e-07,-4.40962e-06,-3.42598,3.71393,97.9505,234.373,583.053,18630.9,-676.329,1661.39,9651.06,-1.92243,-0.238032,-1.8601,-2.25548e-05,2.0318e-06,1.84364e-05,10.4567,-1.40983,-53.4566,-1621.09,7837.13,20634.8
1,4,-842.15,112.766,9856.24,-1.63081,0.693205,0.319516,2.71286e-05,2.13809e-08,-4.45713e-06,-3.42672,3.71575,97.9495,449.989,333.173,19183,-649.276,1652.82,9729.88,-2.26785,-0.257506,-1.80475,-2.32214e-05,1.98419e-06,1.85316e-05,10.4538,-1.40764,-53.4557,-1272.63,7704.41,20593
2,0,-799.933,121.816,9868.4,-1.61925,0.609711,0.184158,2.70792e-05,1.01848e-07,-4.50464e-06,-3.42657,3.71677,97.9499,531.534,212.948,17949.2,-641.409,1595.2,9728.2,-1.85703,-0.640616,-1.34198,-2.35091e-05,1.99639e-06,1.87864e-05,10.4509,-1.40777,-53.4568,-1130.4,6922.03,19316.8
2,1,-770.56,102.728,9804.51,-1.89998,0.575401,0.0749725,2.71564e-05,9.78571e-08,-4.55214e-06,-3.42645,3.71732,97.9507,379.2,829.586,17180.8,-644.95,1617.32,9740.5,-1.01424,-0.876915,-1.02571,-2.33948e-05,2.07209e-06,1.92105e-05,10.4511,-1.41094,-53.4606,-861.072,7174.72,18570.7
2,2,-794.019,95.31,9778.15,-1.90413,0.845231,0.200319,2.7299e-05,5.03492e-08,-4.59965e-06,-3.42674,3.71796,97.9515,437.929,1107.65,18438.9,-586.074,1729.37,9794.72,-0.871923,-0.692515,-1.09703,-2.31567e-05,2.16732e-06,1.96866e-05,10.4536,-1.41468,-53.464,-466.18,7672.91,19636.8
2,3,-694.807,73.861,9768.36,-2.03723,0.538559,0.292593,2.73785e-05,1.07188e-08,-4.58414e-06,-3.42571,3.71687,97.9521,364.981,274.848,18105.8,-558.405,1688.47,9662.68,-1.37282,-0.528488,-1.04541,-2.29283e-05,2.31116e-06,1.99975e-05,10.4544,-1.41539,-53.4647,-1459.46,5726.12,20520.3
2,4,-664.229,83.7868,9735.36,-1.90408,0.488241,0.457372,2.72267e-05,0,-4.33733e-06,-3.42403,3.71558,97.9517,405.599,168.534,19919.2,-513.959,1644.7,9634.25,-1.03857,-0.163488,-0.8388,-2.27344e-05,2.62725e-06,1.97227e-05,10.4541,-1.41636,-53.4636,-1116.94,6427.04,19371.2
3,0,-737.49,105.383,9782.61,-2.01358,0.48808,0.183863,2.69891e-05,0,-4.00478e-06,-3.42321,3.71567,97.951,0,1685.34,19863.5,-490.321,1627.11,9703.07,-1.04959,0.420139,-0.725239,-2.2544e-05,2.96057e-06,1.93894e-05,10.4531,-1.41752,-53.4621,-1435.12,8862.54,19376.6
3,1,-789.32,131.206,9713.67,-1.9571,0.433468,0.730448,2.67516e-05,0,-3.67222e-06,-3.42303,3.7172,97.9502,-1634.17,397.946,18202.2,-406.362,1741.25,9613.03,-1.42113,0.206768,-0.508143,-2.24211e-05,3.23426e-06,1.91356e-05,10.4538,-1.42164,-53.4603,-143.512,8047.68,20250.5
