

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-1424.78,-24.2481,9696.06,-3.42566,-1.92115,-0.0859111,2.57535e-05,-1.91388e-06,-4.54653e-06,-6.67625,5.95567,86.8337,0,-423.145,18252.1,2435.7,2472.95,9100.63,-1.91873,-1.9933,0.379684,-2.75924e-05,1.41991e-05,1.68406e-05,-3.1437,-23.9935,-106.21,419.471,6395.56,19318.8
1,1,-1461.08,-104.874,9727.3,-2.83405,-1.6757,-0.911938,2.57733e-05,-2.0869e-06,-4.51016e-06,-6.67526,5.94773,86.8287,-104.278,-600.669,18034.2,2459.8,2509.56,9032.28,-1.55645,-2.01744,0.0728801,-2.73543e-05,1.44848e-05,1.71739e-05,-3.15341,-24.0019,-106.215,1220.92,9574.84,20663.5
1,2,-1424.97,-66.1454,9631.8,-2.61205,-1.84312,-0.892143,2.5607e-05,-2.14824e-06,-4.54824e-06,-6.67175,5.94006,86.8233,-1711.77,-281.877,17379.1,2527.32,2490.13,9073.3,-2.04549,-1.88326,0.0955526,-2.71163e-05,1.47705e-05,1.75072e-05,-3.16678,-24.0079,-106.224,403.256,8732.93,18746.2
1,3,-1367.32,-177.7,9681.78,-2.85179,-1.89865,-0.70734,2.54175e-05,-2.19563e-06,-4.59563e-06,-6.67004,5.92848,86.8183,-574.212,-118.185,16097.4,2498.08,2511.87,9045.39,-1.80881,-1.75887,-0.267966,-2.68782e-05,1.50562e-05,1.78405e-05,-3.17777,-24.0152,-106.236,892.766,8738.37,18879.2
1,4,-1378.94,-127.702,9714.82,-2.95764,-2.14152,-0.46846,2.52955e-05,-2.20078e-06,-4.66836e-06,-6.66677,5.91733,86.8143,539.012,-320.744,18755,2513.13,2471.57,9076.37,-1.64548,-1.4468,-0.265015,-2.66533e-05,1.53098e-05,1.81757e-05,-3.1858,-24.0189,-106.249,1539.19,8846.09,18923
2,0,-1424.59,-91.568,9759.58,-2.63029,-2.46915,-0.201045,2.53616e-05,-2.08838e-06,-4.81162e-06,-6.6617,5.90721,86.8131,421.077,-309.982,19415.4,2517.49,2441.03,9086.51,-1.50523,-1.04709,-0.138585,-2.66092e-05,1.51245e-05,1.85367e-05,-3.19203,-24.0202,-106.262,1497.79,8430.4,19138.7
2,1,-1505.04,-112.456,9771.75,-2.12147,-2.69732,0.198148,2.55512e-05,-1.89883e-06,-5.00117e-06,-6.65599,5.89903,86.8154,-203.624,-174.492,18138.3,2534.21,2472.33,9087.27,-1.26821,-0.433354,0.0576022,-2.67044e-05,1.46008e-05,1.89176e-05,-3.19693,-24.0219,-106.27,1285.51,8123.98,20455.4
2,2,-1563.69,-92.4096,9759.96,-1.78475,-2.90242,0.241414,2.57804e-05,-1.78861e-06,-5.08494e-06,-6.64914,5.89221,86.8184,-246.101,-300.203,18026.4,2650.82,2490.75,9129.59,-1.21365,0.185987,0.389591,-2.68032e-05,1.4109e-05,1.92417e-05,-3.20227,-24.0246,-106.27,1115.28,8373.44,21194.6
2,3,-1499.28,-84.5609,9828.76,-1.64157,-3.19261,-0.364543,2.61257e-05,-1.91053e-06,-4.8592e-06,-6.63984,5.88386,86.8181,293.975,-572.013,17318.7,2748.05,2434.99,9145.64,-1.41986,0.380332,0.458744,-2.69173e-05,1.37551e-05,1.93205e-05,-3.20939,-24.0273,-106.269,760.924,8677.58,19572.3
