

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-2520.97,-46.0837,9440.93,3.26159,-1.94117,1.28693,3.21083e-05,4.5829e-07,-5.67789e-06,-9.9146,12.878,73.9783,-2881.55,-467.06,18656.6
1,1,-2457.13,59.2432,9512.59,3.13657,-1.9467,1.13161,3.22504e-05,6.00447e-07,-5.29881e-06,-9.88765,12.8847,73.9798,-2353.22,-1338.31,17460.1
1,2,-2471.73,44.2404,9446.59,2.62254,-1.37058,1.01217,3.23926e-05,7.42604e-07,-4.91972e-06,-9.86576,12.8925,73.9831,-2042.76,-504.907,19815.3
1,3,-2460.95,25.4973,9544.72,2.18321,-0.747972,1.25401,3.25048e-05,8.69759e-07,-4.64565e-06,-9.84665,12.9002,73.9884,-373.668,-654.612,18195.1
1,4,-2484.36,30.2099,9511.43,1.69031,-0.881094,1.49071,3.25077e-05,9.42306e-07,-4.75384e-06,-9.8291,12.9068,73.9951,-989.208,-360.388,17800.6
2,0,-2504.65,101.718,9473.67,1.3147,-0.653633,1.32555,3.24603e-05,9.89692e-07,-5.03815e-06,-9.81276,12.9148,74.0019,-2125.17,-266.697,17462.8
2,1,-2497.45,114.032,9469.92,0.695332,-0.101375,0.858697,3.24204e-05,1.06695e-06,-5.315e-06,-9.80022,12.9226,74.0075,-1817.82,-539.874,17189.9
2,2,-2486.16,65.1656,9439.01,-0.0735946,-0.0164226,0.60133,3.24e-05,1.22232e-06,-5.57232e-06,-9.79108,12.928,74.0126,-794.16,-442.487,17869.7
2,3,-2496.79,136.938,9452.91,-0.327622,-0.0669188,0.821681,3.24e-05,1.45925e-06,-5.80925e-06,-9.78166,12.9337,74.0189,-618.858,78.9842,18149.7
2,4,-2535.6,149.028,9498.51,-1.03108,0.344304,0.965477,3.24213e-05,1.64826e-06,-6.01689e-06,-9.77575,12.9393,74.0265,-1387.28,307.591,19123.2
3,0,-2466.79,197.414,9518.11,-2.00398,0.480305,0.466417,3.2613e-05,1.45393e-06,-5.99028e-06,-9.77212,12.9399,74.0363,-956.746,-478.373,19154.8
3,1,-2526.51,99.6293,9454.51,-2.11915,0.22967,0.946476,3.29921e-05,8.37916e-07,-5.70596e-06,-9.77182,12.94,74.0468,11.0672,919.976,19026.6
3,2,-2529.7,115.331,9440.07,-2.64045,0.37063,0.846018,3.33711e-05,2.21901e-07,-5.42165e-06,-9.77103,12.9405,74.0576,-1325.26,1056.74,18765.9
3,3,-2490.47,66.7702,9488.67,-2.99678,0.503513,0.797553,3.31694e-05,3.80327e-07,-5.30674e-06,-9.76951,12.9398,74.0609,-705.282,315.628,16825.4
3,4,-2461.21,23.9025,9501.96,-2.86248,0.962572,0.654556,3.25414e-05,1.10711e-06,-5.31616e-06,-9.77064,12.9405,74.0609,-1180.99,0,17335.2
4,0,-2443.07,-19.2319,9457.25,-2.72516,1.29105,0.816493,3.17832e-05,2.00744e-06,-5.36355e-06,-9.77395,12.9421,74.0613,-1681.65,-605.22,18598.5
4,1,-2383.81,-69.0558,9474.85,-2.93013,1.54993,1.1284,3.12632e-05,2.19334e-06,-5.39393e-06,-9.77936,12.9421,74.0683,-1186.8,-505.998,18662.4
4,2,-2365.15,-114.079,9548.45,-2.90303,1.97848,1.21637,3.10834e-05,1.35862e-06,-5.4e-06,-9.78705,12.9422,74.0835,-867.375,297.823,18090.5
4,3,-2495.38,-129.331,9517.37,-2.29158,2.36177,1.04492,3.09886e-05,2.68746e-07,-5.4e-06,-9.79602,12.9468,74.0996,-1212.35,-233.715,17928.9
4,4,-2500.18,-49.4935,9492.16,-2.62343,2.85108,0.368526,3.0914e-05,-6.29309e-07,-5.41514e-06,-9.8061,12.9534,74.1116,-21.6637,32.3632,18054.3
