Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-1281.97,-74.8649,9722.63,1.54779,-0.981749,0.205354,3.07E-05,1.80E-06,-4.79E-06,-4.98894,6.3897,66.3859,0,1282.84,18661.9
1,1,-1302.24,-70.0323,9719.08,1.25784,-0.975243,0.141388,3.08E-05,1.92E-06,-4.97E-06,-4.97682,6.39212,66.4117,381.418,128.284,19469
1,2,-1292.51,-7.53001,9707.15,1.37478,-0.975063,0.364675,3.06E-05,2.18E-06,-4.78E-06,-4.96283,6.39555,66.4394,84.7595,0,19054.7
1,3,-1351.34,59.9309,9701.95,1.16473,-1.13654,0.132176,3.03E-05,2.47E-06,-4.54E-06,-4.9491,6.3996,66.4673,1654.28,992.567,17079.9
1,4,-1418.23,148.294,9712.07,0.470084,-1.28982,0.117147,3.02E-05,2.61E-06,-4.32E-06,-4.93684,6.40358,66.496,726.998,1222.09,17721.1
2,0,-1387.64,206.305,9712.56,-0.28156,-1.47193,0.62798,3.03E-05,2.59E-06,-4.13E-06,-4.92531,6.40519,66.5281,-70.2487,322.418,18682.5
2,1,-1292.92,176.857,9705.06,-1.06698,-1.46258,1.0674,3.05E-05,2.49E-06,-3.94E-06,-4.91631,6.40312,66.5634,532.59,-119.265,18457.5
2,2,-1221.83,93.7885,9703.91,-1.97691,-1.272,0.981711,3.06E-05,2.42E-06,-3.79E-06,-4.91161,6.39741,66.5996,962.101,282.753,18252.5
2,3,-1182.57,47.1467,9692.91,-2.70745,-1.27604,0.718985,3.06E-05,2.40E-06,-3.75E-06,-4.90988,6.38885,66.635,949.726,304.038,18472.5
2,4,-1172.2,29.7605,9650.54,-3.10533,-1.18449,0.476434,3.06E-05,2.40E-06,-3.75E-06,-4.91001,6.37941,66.6693,1098.82,996.923,18169.6
3,0,-1207.43,42.908,9641.36,-3.11919,-1.26229,0.370902,3.06E-05,2.40E-06,-3.75E-06,-4.91019,6.37048,66.7026,0,-1019.01,19377.4
3,1,-1268.66,93.209,9706.08,-3.29303,-1.61268,0.256762,3.05E-05,2.40E-06,-3.54E-06,-4.90983,6.36141,66.7355,430.536,-101.901,19769.1
3,2,-1352.54,118.13,9781.96,-3.75892,-1.90674,0.149142,3.04E-05,2.40E-06,-3.31E-06,-4.91107,6.35178,66.768,-1431.22,-443.235,20414.7
3,3,-1448.95,143.199,9773.32,-4.43991,-2.67577,-0.0250526,3.03E-05,2.40E-06,-3.09E-06,-4.91354,6.33968,66.7997,-572.587,-166.213,20213.9
3,4,-1500.05,109.464,9697.51,-4.87926,-3.44079,-0.415847,3.03E-05,2.37E-06,-3.30E-06,-4.91711,6.3245,66.8294,246.745,-204.776,19343.5
4,0,-1399.6,-11.8322,9660.7,-4.68761,-3.79741,-0.805477,3.02E-05,2.32E-06,-3.73E-06,-4.92007,6.30535,66.8571,321.862,-170.646,18903.1
4,1,-1225.28,-140.414,9717.05,-4.08467,-3.66254,-0.928251,3.02E-05,2.26E-06,-4.10E-06,-4.92138,6.28369,66.884,139.489,-191.349,18445.5
4,2,-1120.27,-189.472,9794.98,-3.46105,-3.13115,-0.762623,3.03E-05,2.15E-06,-4.19E-06,-4.92123,6.26305,66.9108,-13.3754,-626.344,18691
4,3,-1090.32,-165.597,9785.48,-2.90402,-2.37885,-0.536988,3.06E-05,1.95E-06,-3.91E-06,-4.92007,6.24622,66.9379,-73.2472,-910.541,20744.5
4,4,-1095.6,-105.694,9710.8,-2.52481,-1.75905,-0.464697,3.09E-05,1.76E-06,-3.64E-06,-4.91814,6.23343,66.965,-128.556,-640.196,19596.5
5,0,-1193.43,-66.6647,9626.37,-2.19434,-1.68003,-0.237744,3.10E-05,1.48E-06,-3.56E-06,-4.91576,6.22411,66.9922,405.519,-405.519,18599.5
5,1,-1228.29,37.8856,9630.14,-2.0597,-1.56377,0.223872,3.08E-05,1.05E-06,-3.85E-06,-4.9114,6.2178,67.0206,-559.94,-490.921,19772.5
5,2,-1151.32,95.574,9675.66,-2.19373,-1.21027,0.249097,3.06E-05,6.26E-07,-4.13E-06,-4.90671,6.21384,67.0487,-272.626,-100.082,18905.8
5,3,-1107.32,26.9436,9740.47,-2.37915,-0.97695,0.244927,3.06E-05,3.69E-07,-4.25E-06,-4.90378,6.21086,67.073,-650.771,-71.1446,18164.7
5,4,-1124.64,-47.1308,9773.85,-2.38331,-0.783107,0.357305,3.07E-05,3.00E-07,-4.18E-06,-4.90226,6.20818,67.0924,-246.268,341.84,18375.5
