

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-2486.62,-3936.19,10040.9,-7.43656,-19.8806,-16.0919,2.96318e-05,4.80511e-06,-4.35852e-06,-2.0994,10.518,71.581,-2340.86,-4707.23,19236.9
1,1,-1819.77,-2236.59,10075.2,-7.60387,-18.8651,-14.1074,2.96932e-05,4.93551e-06,-4.35085e-06,-2.12429,10.4055,71.5217,-1095.16,-1257.36,19129
1,2,-1414.67,-1054.93,9705.39,-9.55262,-15.1255,-15.4958,2.97e-05,4.95e-06,-4.35e-06,-2.1453,10.3099,71.4579,-191.349,-710.237,19438.6
1,3,-1099.22,-715.489,9746.75,-12.4672,-13.0765,-19.2141,2.97e-05,4.95e-06,-4.35e-06,-2.17565,10.2103,71.394,418.768,-619.553,18622
1,4,-960.328,-1123.26,9703.16,-15.3482,-10.288,-24.1534,2.97893e-05,4.80114e-06,-4.55841e-06,-2.23172,10.1057,71.3175,324.552,-728.088,18946.5
2,0,-948.276,-1130.94,9368.02,-16.7072,-6.6755,-27.1894,2.99241e-05,4.57651e-06,-4.87288e-06,-2.30053,10.0127,71.2327,-553.613,-1364.07,18301.7
2,1,-1050.36,-757.371,9355.71,-14.3795,-3.66195,-26.1522,3.00595e-05,4.35083e-06,-5.18884e-06,-2.36215,9.94254,71.1531,-882.794,-997.984,18463.5
2,2,-1208.37,-459.677,9721.7,-9.25594,-0.408161,-20.992,3.00146e-05,4.2904e-06,-5.35457e-06,-2.40904,9.90267,71.0922,-385.249,195.255,20067
2,3,-1279.41,49.3447,9696.49,-5.25674,5.36979,-13.3775,2.9609e-05,4.56065e-06,-5.21967e-06,-2.44598,9.9011,71.0584,-382.4,-324.552,19338.4
2,4,-1308.76,459.251,9741.09,-2.70827,11.5876,-6.81284,2.92029e-05,4.83052e-06,-5.08403e-06,-2.48066,9.93302,71.0494,-36.063,-695.688,19208
3,0,-1198.3,331.706,9630.13,-3.43561,15.2115,-6.10339,2.87977e-05,5.09272e-06,-4.94655e-06,-2.52728,9.97252,71.0432,-1409.96,-444.83,17766.9
3,1,-1339.07,-83.64,9706.38,-5.62152,17.296,-6.27273,2.85269e-05,4.23512e-06,-4.54032e-06,-2.59798,10.0105,71.0387,-320.674,-475.019,19859.2
3,2,-1328.37,-523.533,9657.04,-6.35872,18.6558,-6.76717,2.82561e-05,3.37751e-06,-4.13408e-06,-2.68093,10.0456,71.0322,292.916,-861.072,18461.2
3,3,-1575.01,-595.016,9822.18,-7.21066,20.0283,-6.38551,2.79952e-05,2.52873e-06,-3.73961e-06,-2.77352,10.0869,71.0274,-539.276,-962.376,17141.8
3,4,-1781.67,-557.756,9953.22,-8.1377,20.2197,-4.26714,2.82402e-05,2.12627e-06,-3.94025e-06,-2.86867,10.1297,71.0189,-379.482,-418.274,17417.4
