

Devices
250
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-2087.32,955.689,9349.1,0.991808,5.09657,7.44351,-1.22648e-05,4.99129e-06,2.055e-05,5.0124,14.8284,16.8885,-3700.88,5414.25,21274.6
1,1,-2112.42,969.227,9347.67,1.58823,5.44659,7.31431,-1.24076e-05,5.22937e-06,2.055e-05,5.03258,14.8414,16.8393,-2581.7,6999.46,21832.2
1,2,-2195.4,933.813,9453.07,1.8796,5.50824,7.34902,-1.25505e-05,5.46745e-06,2.055e-05,5.05241,14.8556,16.7904,-1280.2,7929.33,17800.5
1,3,-2211.55,972.627,9415.25,1.63044,5.66312,7.45912,-1.23645e-05,5.67264e-06,2.06815e-05,5.07206,14.8707,16.7416,-1417.45,8563.5,18801.5
1,4,-2199.48,991.809,9294.61,1.4161,5.85301,7.54031,-1.2049e-05,5.86488e-06,2.08649e-05,5.09147,14.8867,16.6928,-2285.57,7442.61,19775.3
2,0,-2192.92,975.937,9289.74,1.56127,5.85885,7.60633,-1.1731e-05,6.05255e-06,2.10414e-05,5.11128,14.9025,16.6439,-3071.13,6819.16,20571.6
2,1,-2158.51,967.239,9369.43,1.85436,5.52954,7.69524,-1.16458e-05,6.1979e-06,2.10063e-05,5.13204,14.9159,16.597,-3096.29,7014.89,20337.2
2,2,-2113.6,971.913,9398.27,1.97477,5.13212,7.64777,-1.18363e-05,6.29313e-06,2.07206e-05,5.15312,14.9271,16.553,-2941.26,6932.24,19112.1
2,3,-2125.76,958.419,9398.73,1.89184,5.17798,7.2548,-1.20175e-05,6.38376e-06,2.04533e-05,5.17302,14.9387,16.5095,-3826.36,6718.76,19613.3
2,4,-2104.84,953.912,9446.86,1.75734,5.54331,6.79677,-1.215e-05,6.45e-06,2.02836e-05,5.19179,14.9511,16.465,-4395.35,6075.44,19625.8
3,0,-2087.85,1006.18,9453.67,2.0176,5.44806,6.65118,-1.215e-05,6.45e-06,2.03788e-05,5.21254,14.963,16.42,-3054.18,8014.57,19738.4
3,1,-2124.25,1095.87,9326.77,2.14152,5.1735,6.68847,-1.215e-05,6.45e-06,2.04741e-05,5.2362,14.9753,16.3743,-2890.2,6824.27,19628.9
3,2,-2029.11,1067.35,9308.05,1.77218,5.31415,6.37425,-1.22633e-05,6.49854e-06,2.04398e-05,5.25745,14.986,16.327,-2604.04,7594.85,20080.1
3,3,-1968.05,1091.36,9304.09,1.46916,5.6575,6.07145,-1.25508e-05,6.62178e-06,2.02064e-05,5.278,14.9969,16.2787,-3353.92,7790.03,18697.4
3,4,-1956.08,1116.99,9308.83,1.07782,5.78958,5.63647,-1.28841e-05,6.76462e-06,1.99208e-05,5.29713,15.0079,16.2288,-3313.91,7305.98,19607.6
4,0,-1948.4,1133.49,9319.58,0.645556,5.97737,5.04222,-1.30727e-05,6.95089e-06,1.97942e-05,5.3145,15.0193,16.1766,-1878.15,6834.54,20606.3
4,1,-1925.45,1114.69,9339.1,0.491496,6.33948,4.51746,-1.30497e-05,7.20063e-06,1.99005e-05,5.33049,15.0314,16.1225,-873.585,6771.44,19718.3
4,2,-1891.9,1077.09,9347.72,0.527042,6.50659,4.14373,-1.29068e-05,7.48633e-06,2.01386e-05,5.3458,15.0433,16.066,-1863.52,7211.04,18573.3
4,3,-1894.12,1096.07,9322.14,0.397646,6.2434,3.72733,-1.27508e-05,7.6338e-06,2.0339e-05,5.36126,15.0543,16.0059,-3593.57,7440.39,18805.8
4,4,-2049.25,1136,9327.09,0.601864,6.102,3.3654,-1.2546e-05,7.26955e-06,2.04e-05,5.37783,15.0678,15.9428,-3304.77,5877.66,18656.4
5,0,-2173.81,1158.23,9412.76,0.441408,6.102,3.45397,-1.23198e-05,6.68151e-06,2.04e-05,5.39377,15.0831,15.8797,-16.6652,8594.05,20066.7
5,1,-2236.14,1122.37,9447.17,0.47821,6.14187,3.65025,-1.20936e-05,6.09347e-06,2.04e-05,5.40862,15.0996,15.8194,-2705.13,7934.15,19778.9
