

Devices
250
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-3863.53,-1542.12,11658.2,-15.7861,-26.3104,28.9177,-5.03486e-06,2.71722e-06,2.06164e-05,2.1235,26.4138,-6.34515,-4783.73,4418.1,24323.9
1,1,-3941.01,-1758.54,11660.4,-18.6181,-27.0348,31.1198,-4.51229e-06,2.5272e-06,2.07114e-05,2.0814,26.305,-6.2195,-6899.52,5608.24,20576.4
1,2,-3881.29,-1816.29,11661.3,-21.3575,-27.2822,33.2233,-3.98972e-06,2.33717e-06,2.08064e-05,2.03057,26.1958,-6.08343,-4415.23,4665.66,20671.2
1,3,-3860.04,-1874.18,11753.8,-23.8807,-27.164,35.5812,-3.81477e-06,2.15271e-06,2.07879e-05,1.97098,26.0876,-5.9305,-3913.31,3736.8,21422.3
1,4,-3868.71,-1989.79,11761.1,-26.176,-26.3571,37.9401,-3.81972e-06,1.97114e-06,2.07106e-05,1.904,25.9831,-5.76271,-3525.13,3776.58,22165.9
2,0,-3875.23,-2079.83,11761.1,-28.2323,-25.1778,40.3025,-3.86495e-06,1.7902e-06,2.06201e-05,1.83117,25.8835,-5.58252,-4141.7,3909.35,22356.4
2,1,-3900.67,-2135.13,11793.6,-30.0417,-23.6554,42.7129,-3.91018e-06,1.65768e-06,2.05135e-05,1.75376,25.7902,-5.391,-4720.57,4053.91,22132.9
2,2,-3968.74,-2191.44,11855.4,-31.664,-21.6324,45.1567,-3.95542e-06,1.59458e-06,2.03838e-05,1.67262,25.7049,-5.18841,-4437.18,3977.65,21497.5
2,3,-4100.19,-2239.74,11962.2,-33.2178,-19.2881,47.5926,-4.00065e-06,1.54935e-06,2.02481e-05,1.58808,25.629,-4.97507,-4995.49,2993.6,20345.6
2,4,-4364.68,-2281.37,11971.7,-34.648,-16.7972,49.8172,-4.0541e-06,1.52056e-06,2.01124e-05,1.5005,25.563,-4.75205,-5036.21,2898.78,20434.9
3,0,-4466.97,-2096.97,12008.7,-35.1545,-14.0872,51.4027,-4.17334e-06,1.62334e-06,1.99767e-05,1.41281,25.5076,-4.52237,-5262.1,2473.52,21477.8
3,1,-4743.74,-1929.31,12014.3,-35.1577,-11.2817,53.0653,-4.30904e-06,1.75904e-06,1.9841e-05,1.32733,25.4644,-4.28568,-4439.85,4358.61,21991.2
3,2,-4903.71,-1846.12,12001.5,-36.207,-8.54878,54.4458,-4.44474e-06,1.89474e-06,1.97053e-05,1.239,25.4321,-4.04313,-4942.91,3728.97,21302.8
3,3,-5011.82,-1732.8,11984.7,-37.5497,-6.16193,55.1952,-4.49247e-06,1.76652e-06,1.97455e-05,1.14664,25.409,-3.79822,-5200,3524.16,22073.4
3,4,-5066.64,-1746.55,11950.4,-38.7476,-3.61755,55.1268,-4.5e-06,1.51772e-06,1.98661e-05,1.05021,25.3962,-3.55398,-5431.17,3223.18,22791.8
4,0,-5115.92,-1747.63,11961.8,-39.8978,-0.974596,54.6458,-4.5e-06,1.24632e-06,2.00018e-05,0.949383,25.3939,-3.3114,-5605.58,3283.55,22922.7
4,1,-5164.75,-1742.71,11925.2,-40.9937,1.65507,53.7396,-4.46587e-06,1.00905e-06,2.01034e-05,0.84405,25.4021,-3.07255,-6014.36,4041.09,22264.4
4,2,-5218.54,-1770.51,11826.5,-42.0856,4.31495,52.076,-4.38451e-06,8.19014e-07,2.01577e-05,0.733496,25.4208,-2.8405,-6907.42,4350.91,21237.4
4,3,-5334.07,-1718.72,11828.8,-43.2997,6.95033,49.6795,-4.29404e-06,6.38081e-07,2.0203e-05,0.616642,25.4501,-2.61763,-7719.03,3445.8,20656.4
4,4,-5511.12,-1671.92,11831.8,-44.2756,9.27515,46.9866,-4.20357e-06,4.74527e-07,2.02308e-05,0.493971,25.4886,-2.40505,-7397.69,3925.2,19936.5
5,0,-5642.37,-1551.69,11934.3,-46.1942,10.8373,44.8397,-4.11311e-06,4.5e-07,2.01197e-05,0.362283,25.5335,-2.19988,-5262.1,4467.22,21648.2
5,1,-5737.28,-1432.48,12014.2,-47.7636,12.5126,42.0769,-4.02264e-06,4.5e-07,1.9984e-05,0.221051,25.5859,-2.00482,-6553.71,3820.22,20247.3
5,2,-5885.97,-1406.25,11970.6,-48.8334,13.7046,39.7336,-3.93218e-06,4.5e-07,1.98483e-05,0.0740389,25.6428,-1.81815,-6952.51,5597.78,21878.6
