Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-3455.51,3153.11,8907.54,38.9231,-13.9461,-10.1186,-1.22E-05,1.54E-05,1.87E-05,24.1153,12.058,-8.48515,-4503.33,9550.92,17040
1,1,-3531.08,3192.32,9046.56,40.1378,-18.3304,-10.9168,-1.23E-05,1.53E-05,1.87E-05,24.2586,12.0046,-8.57316,-3602.98,9565.81,19071.3
1,2,-3531.6,3212.96,9130.28,41.493,-23.3505,-12.161,-1.24E-05,1.52E-05,1.86E-05,24.4044,11.9318,-8.67077,-4318.77,10506.8,19376.1
1,3,-3561.57,3191.7,9346.95,42.4595,-27.9828,-13.192,-1.24E-05,1.51E-05,1.88E-05,24.5491,11.8416,-8.77741,-3753.17,10129,19354.5
1,4,-3576.27,3127.07,9332.7,43.5792,-32.1442,-14.1358,-1.23E-05,1.51E-05,1.91E-05,24.6953,11.7367,-8.89204,-3232.33,9974.08,18238.7
2,0,-3614.31,3131.92,9391.95,44.8125,-36.2462,-15.253,-1.22E-05,1.50E-05,1.95E-05,24.8436,11.6173,-9.015,-3735.78,9453.42,17800.7
2,1,-3729.47,3169.69,9529.68,45.6929,-40.4627,-16.4935,-1.22E-05,1.51E-05,1.96E-05,24.9923,11.4845,-9.14639,-3978.78,9727.33,18854.7
2,2,-3833.1,3144.01,9549.17,46.4179,-44.1895,-17.6369,-1.23E-05,1.52E-05,1.95E-05,25.1411,11.3406,-9.28513,-3802.6,9892.43,20699.4
2,3,-3805.36,3098.84,9550.91,47.252,-47.0326,-18.8397,-1.24E-05,1.54E-05,1.92E-05,25.29,11.1865,-9.4308,-4564.42,7959.26,21990.5
2,4,-3841.08,3131.4,9534.29,46.8257,-50.1605,-20.7486,-1.25E-05,1.56E-05,1.89E-05,25.438,11.0195,-9.58495,-3972.33,10607.4,20573.3
3,0,-4064.63,3260.49,9452.57,48.0797,-51.0101,-22.5716,-1.29E-05,1.57E-05,1.91E-05,25.6092,10.823,-9.74005,-5280.47,8745.69,20533.3
3,1,-4048.91,3097.22,9788.9,48.415,-52.8851,-23.3503,-1.34E-05,1.58E-05,1.94E-05,25.781,10.6187,-9.89994,-5215.95,9246.02,19705.3
3,2,-4361.56,3124.22,9980.89,49.2345,-55.0504,-25.1012,-1.38E-05,1.59E-05,1.96E-05,25.9545,10.4073,-10.0687,-5199.39,9235.7,19778.6
3,3,-4560.98,3056.66,10219.6,49.7707,-56.5692,-26.5151,-1.36E-05,1.62E-05,1.94E-05,26.1296,10.1898,-10.251,-5577.45,9412.61,19572.1
3,4,-4899.68,3086.9,10552.1,50.0191,-57.8113,-28.435,-1.32E-05,1.66E-05,1.90E-05,26.3046,9.96849,-10.4449,-6155.64,10037.5,19064
4,0,-5242.55,3200.08,10854.1,49.809,-58.625,-29.9315,-1.29E-05,1.69E-05,1.87E-05,26.4777,9.74548,-10.6448,-6369.25,9744,19712.1
4,1,-5436.94,3193.36,11107.7,49.2498,-59.2704,-31.1989,-1.29E-05,1.71E-05,1.82E-05,26.6476,9.52135,-10.8494,-6067.8,8897.74,20975.6
4,2,-5590.27,3063.9,11387.3,48.9535,-60.6439,-33.0487,-1.30E-05,1.71E-05,1.78E-05,26.815,9.29405,-11.0594,-5989.19,8260.55,21622.4
4,3,-5823.81,3036.15,11724.6,49.2546,-63.0573,-35.1963,-1.31E-05,1.70E-05,1.74E-05,26.9814,9.06048,-11.2747,-6621.56,7713.23,21610.4
4,4,-5946.01,3034.48,12105,49.2618,-65.2232,-37.5972,-1.32E-05,1.67E-05,1.73E-05,27.1458,8.82114,-11.4994,-6742.33,8582.61,20571.1
5,0,-6126.71,2872.19,12226.7,48.9908,-67.1357,-40.797,-1.32E-05,1.61E-05,1.76E-05,27.3073,8.57767,-11.7371,-8484.72,6697.22,22212.9
5,1,-6539.91,2759.97,12276.7,48.6831,-68.6459,-43.9692,-1.32E-05,1.55E-05,1.80E-05,27.4657,8.33089,-11.9908,-6495.28,8278.87,22306.9
5,2,-6681.64,2666.03,12493.5,46.111,-70.4741,-47.5826,-1.31E-05,1.54E-05,1.80E-05,27.6108,8.08155,-12.2588,-6839.14,8440.48,23215.7
5,3,-6672.24,2721,12510.9,44.8762,-72.189,-51.5652,-1.31E-05,1.56E-05,1.79E-05,27.75,7.83004,-12.5428,-6708.02,8493.41,23105.4
5,4,-6693.31,2620.96,12658.2,43.5833,-73.4209,-55.4894,-1.30E-05,1.60E-05,1.78E-05,27.8819,7.57884,-12.8399,-8049.27,7834.51,23741.6
