

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-407.517,9818.23,-18.9382,-2.62569,0.26503,-0.20218,2.00474e-05,2.02021e-05,-2.00968e-05,14.9318,118.077,117.616,12.3611,11419.2,10499.5,1607.49,9490.42,119.189,-3.20416,0.151938,-0.289539,-2.29898e-05,2.30296e-05,-1.17124e-05,-62.0615,153.836,151.041,1534.87,16304.6,9966.04
1,1,-315.103,9764.5,-20.8919,-2.36599,0.0377158,-0.368919,2.04817e-05,1.98523e-05,-2.06216e-05,14.9589,118.062,117.6,811.11,9701.43,8580.83,1716.41,9608.42,225.843,-2.74151,0.414831,-0.489326,-2.30373e-05,2.31245e-05,-1.119e-05,-62.0662,153.836,151.047,1139.53,15060.4,9218.44
1,2,-276.639,9765.26,34.3798,-2.3098,-0.114942,-0.364924,2.02726e-05,1.99849e-05,-2.04226e-05,14.9906,118.044,117.582,1220.95,11362.5,9450.21,1648.41,9623.63,160.008,-2.36259,0.127206,-0.571266,-2.30848e-05,2.32195e-05,-1.06675e-05,-62.0832,153.838,151.047,691.838,16086.2,9481.05
1,3,-327.777,9789.35,41.255,-2.50734,-0.0422793,-0.278644,1.99831e-05,2.01779e-05,-2.01331e-05,15.0222,118.025,117.564,1372.44,10199.8,8698.95,1592.11,9570.38,169.516,-2.50367,0.219742,-0.552059,-2.29303e-05,2.32472e-05,-1.09531e-05,-62.1045,153.838,151.05,427.531,15753.9,9401.8
1,4,-372.931,9811.37,-4.30835,-2.71976,0.0423437,-0.198728,1.97106e-05,2.03454e-05,-1.98606e-05,15.0522,118.007,117.544,729.272,10283.9,8470.83,1635,9585.12,159.742,-2.51046,0.387493,-0.623993,-2.27012e-05,2.325e-05,-1.15369e-05,-62.1243,153.839,151.052,724.025,15519.5,9318.83
2,0,-368.928,9828.15,-4.31956,-2.76639,0.142075,-0.0617842,1.94861e-05,2.0441e-05,-1.96361e-05,15.0804,117.991,117.526,140.075,9696.53,8360.53,1666.1,9558.81,115.869,-2.32213,0.364728,-0.57198,-2.24601e-05,2.32591e-05,-1.21343e-05,-62.1325,153.841,151.051,1129.7,15269,9199.97
2,1,-359.766,9827.95,36.5123,-2.76284,0.160296,0.022405,1.92931e-05,2.04892e-05,-1.94431e-05,15.1073,117.974,117.509,403.486,10132.6,8971.95,1649.49,9523.7,96.0352,-2.09154,0.277895,-0.423802,-2.21767e-05,2.33738e-05,-1.24995e-05,-62.1311,153.843,151.048,1499.65,15423.2,8485.14
2,2,-365.703,9808.94,39.9492,-2.87092,0.0492474,-0.0375859,1.91676e-05,2.0455e-05,-1.93401e-05,15.1333,117.957,117.493,784.204,11702.2,9989.89,1645.7,9560.19,92.2641,-1.92505,0.351764,-0.423182,-2.18443e-05,2.36112e-05,-1.25945e-05,-62.1281,153.845,151.044,1268.81,16011.1,7366.63
2,3,-343.524,9801.14,9.67631,-2.96787,-0.0386065,-0.0485802,1.92286e-05,2.01927e-05,-1.94858e-05,15.1586,117.942,117.477,669.18,10362.2,9027.81,1668.83,9578.59,48.1248,-1.91108,0.46064,-0.666895,-2.15429e-05,2.38535e-05,-1.26416e-05,-62.1228,153.846,151.038,268.084,15767.5,7659.1
2,4,-321.679,9830.95,29.4963,-2.79196,-0.117221,0.126477,1.94699e-05,1.97102e-05,-1.98718e-05,15.183,117.928,117.463,2081.24,11774.2,7957.42,1674.75,9540.37,39.2906,-2.01482,0.17673,-1.07148,-2.14034e-05,2.41207e-05,-1.24397e-05,-62.1099,153.844,151.032,1311.83,15432.8,10575.5
3,0,-374.209,9879.01,15.5996,-2.63523,-0.0655675,-0.104036,1.97111e-05,1.92277e-05,-2.02578e-05,15.2061,117.913,117.448,71.7708,10045.8,9902.29,1677.71,9533.71,65.5971,-2.24766,0.0711038,-0.73224,-2.16884e-05,2.44531e-05,-1.15848e-05,-62.0926,153.842,151.029,1054.55,16840.9,8436.39
3,1,-334.976,9833.3,-6.71633,-2.89959,0.0658364,-0.128039,1.98879e-05,1.95838e-05,-2.04503e-05,15.2315,117.899,117.432,868.249,9612.86,8097.73,1651.49,9549.11,93.9944,-2.07631,0.150858,-0.784577,-2.19734e-05,2.47856e-05,-1.07298e-05,-62.0832,153.841,151.026,1704.7,17195.7,8298.02
3,2,-316.239,9807.79,-18.5623,-2.70991,-0.123179,0.0714908,2.00362e-05,2.03096e-05,-2.05575e-05,15.2587,117.884,117.416,514.46,10595.8,10321.9,1635.16,9590.87,133.82,-2.25202,-0.188368,-0.891597,-2.22259e-05,2.49721e-05,-1.02643e-05,-62.0907,153.84,151.025,1092.27,16628.7,8729.32
