

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-1530.84,9688.24,923.198,-2.52312,-0.10218,1.13808,1.92814e-05,1.86599e-05,-1.71087e-05,69.5547,52.8152,45.0558,-1190.36,10301.7,10713.3,2420.93,9389.54,821.69,-1.62646,0.0943029,-0.684533,-1.90028e-05,2.81714e-05,-9.01009e-06,-41.7788,156.806,152.001,2384.41,15786.3,10524.2
1,1,-1568.97,9728.16,941.091,-2.70351,-0.129844,0.9702,1.91866e-05,1.83282e-05,-1.75352e-05,69.5597,52.8068,45.0463,-3.26627,9705.98,9200.83,2434.77,9274.15,743.209,-1.83658,-0.280145,-0.180419,-1.91453e-05,2.84088e-05,-8.67762e-06,-41.7733,156.804,152.002,668.977,16106.1,11385.3
1,2,-1566.4,9669.54,912.92,-2.53112,0.112398,1.05786,1.90918e-05,1.79965e-05,-1.79617e-05,69.5647,52.7997,45.0376,-1065.61,10385.2,10207,2444,9349.52,742.601,-1.84128,-0.0492493,-0.205696,-1.91922e-05,2.83915e-05,-8.88669e-06,-41.7682,156.802,152.003,1160.96,15674.6,9484.65
1,3,-1566.82,9662.12,900.542,-2.64144,-0.0205123,0.714077,1.88788e-05,1.8138e-05,-1.80924e-05,69.5681,52.7958,45.0324,-295.385,10595.3,9184.41,2449.63,9408.51,700.703,-1.94857,0.0870989,0.109838,-1.92e-05,2.82697e-05,-9.31761e-06,-41.7697,156.803,152.002,1332.91,14976.9,8926.18
1,4,-1577.55,9634.04,915.922,-2.77389,-0.118729,0.807933,1.86069e-05,1.85146e-05,-1.80762e-05,69.5703,52.793,45.0286,65.0661,9982.69,9252.06,2438.39,9413.66,677.85,-1.73977,0.0863777,-0.116004,-1.92e-05,2.81272e-05,-9.79258e-06,-41.7751,156.805,152.001,1953.41,14955.1,9738.86
2,0,-1569.8,9641.51,937.624,-2.57382,0.0138952,0.939829,1.83226e-05,1.89411e-05,-1.80288e-05,69.5723,52.79,45.0252,-187.075,10202.2,9672.45,2428.78,9376.94,640.038,-1.65895,-0.132125,-0.450786,-1.92e-05,2.82014e-05,-9.83427e-06,-41.7817,156.808,151.998,1498.53,14810.4,10650.1
2,1,-1550.73,9659.08,951.466,-2.38812,0.0332666,0.81049,1.83195e-05,1.91868e-05,-1.79412e-05,69.5747,52.7856,45.0211,-858.54,10963.2,9827.02,2455.98,9341.74,648.291,-1.7124,-0.277315,-0.565609,-1.92e-05,2.84655e-05,-9.496e-06,-41.7836,156.81,151.996,1295.05,15023.2,9902.62
2,2,-1579.36,9613.79,946.009,-2.39545,-0.152428,0.72503,1.8678e-05,1.92e-05,-1.7802e-05,69.5774,52.7808,45.0151,-1109.59,11080.1,10335.9,2469.52,9333.12,710.938,-1.65419,-0.125125,-0.623853,-1.91989e-05,2.87394e-05,-9.13705e-06,-41.7793,156.81,151.996,2156.68,15918.9,9166.6
2,3,-1684.97,9555.75,930.502,-2.236,-0.114232,0.933941,1.90483e-05,1.92066e-05,-1.76686e-05,69.579,52.7772,45.0072,0,10719,10461.4,2419.35,9344.21,695.183,-1.6134,-0.0100654,-0.576624,-1.91858e-05,2.8893e-05,-9.00667e-06,-41.7745,156.808,151.995,1546.64,16325.9,10846.3
2,4,-1755.99,9594.6,963.85,-2.36701,0.0341866,1.21381,1.935e-05,1.92647e-05,-1.76039e-05,69.5795,52.7741,44.9987,-45.3056,10035.5,8383.27,2477.43,9391.97,664.297,-1.53853,-0.208406,-0.195503,-1.91383e-05,2.8703e-05,-9.52913e-06,-41.7692,156.809,151.994,575.023,16798.9,9165.86
3,0,-1599.31,9615.13,888.215,-2.66993,-0.0759739,0.731896,1.935e-05,1.9549e-05,-1.78408e-05,69.5828,52.7703,44.9925,-453.056,10795,8339.88,2382.49,9403.83,750.017,-2.09396,-0.0724039,-0.0113839,-1.90908e-05,2.85131e-05,-1.00516e-05,-41.7709,156.806,151.995,2418.03,17545.1,10343.3
3,1,-1564.54,9625.86,869.038,-2.9162,0.323483,0.319141,1.935e-05,1.98333e-05,-1.80777e-05,69.5869,52.7663,44.9868,-1008.57,10981.8,10305.8,2469.26,9314.96,658.376,-1.97616,-0.217526,-0.104716,-1.90649e-05,2.83447e-05,-1.03687e-05,-41.7717,156.809,151.993,1087.73,14393.7,10659.7
3,2,-1505.45,9637.05,908.095,-2.77165,0.584252,0.0671749,1.935e-05,2.0053e-05,-1.82608e-05,69.5906,52.7617,44.983,-299.379,11328.4,11147.4,2465.76,9260.32,719.237,-1.72328,-0.0568377,0.0182179,-1.91042e-05,2.82415e-05,-1.00662e-05,-41.7725,156.811,151.993,1996.22,15332.5,9898.2
3,3,-1533.14,9647.27,922.8,-2.65849,0.403481,0.136023,1.935e-05,2.01e-05,-1.83e-05,69.5926,52.7594,44.9811,-31.9949,10789.9,10995.6,2397.69,9307.95,676.724,-1.61155,-0.329595,-0.471255,-1.91517e-05,2.81466e-05,-9.68621e-06,-41.7675,156.809,151.992,2548.86,16139.8,10866.1
3,4,-1621.47,9589.92,900.302,-2.78776,0.194353,0.462151,1.935e-05,2.01e-05,-1.83e-05,69.5934,52.7594,44.9785,-574.048,9271.46,11338.7,2427.85,9388.02,623.429,-1.72805,-0.198283,-0.752567,-1.9187e-05,2.8076e-05,-9.40382e-06,-41.7581,156.807,151.988,1275.46,15965.6,10996.9
4,0,-1607.2,9589.97,906.152,-2.78318,0.0896905,0.820675,1.9425e-05,1.99822e-05,-1.83321e-05,69.5942,52.7591,44.9767,-478.373,9020.94,10810.4,2454.79,9366.49,624.999,-1.73733,-0.0100906,-0.64496,-1.92e-05,2.805e-05,-9.3e-06,-41.7468,156.806,151.985,854.154,15854.9,10327.4
4,1,-1517.65,9645.74,921.689,-2.66734,0.044449,0.987764,1.96473e-05,1.96328e-05,-1.84274e-05,69.5956,52.758,44.9769,-574.048,9088.12,9720.94,2455.7,9315.85,695.616,-1.50959,-0.165573,-0.707654,-1.92e-05,2.805e-05,-9.3e-06,-41.7388,156.804,151.984,1583.94,15922.9,9760.45
4,2,-1489.8,9695,881.296,-2.54908,0.115974,0.769176,1.9979e-05,1.91115e-05,-1.85696e-05,69.5974,52.7585,44.979,-1001.29,8841.98,8850.75,2470.68,9352.48,757.528,-1.41419,-0.328718,-1.02545,-1.91312e-05,2.805e-05,-9.31719e-06,-41.7367,156.804,151.986,1466.18,15734.9,9695.27
4,3,-1518.13,9736.23,822.439,-2.31527,0.294635,0.306397,2.02285e-05,1.86842e-05,-1.86765e-05,69.5988,52.762,44.9828,58.0782,10165,8677.59,2443.71,9405.66,721.318,-1.58024,-0.188084,-1.01343,-1.88864e-05,2.805e-05,-9.37841e-06,-41.7374,156.804,151.986,577.244,15607.5,10165.6
