

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,-416.592,9754.29,-264.289,-1.27748,-0.936953,0.0570818,1.37342e-05,2.42148e-05,-2.055e-05,87.0176,-32.8532,-34.4875,257.674,11444,5887.23
1,1,-326.09,9813.25,-291.024,-1.39349,-0.880415,0.0122847,1.35921e-05,2.39307e-05,-2.0196e-05,87.0195,-32.8596,-34.4951,678.281,11790.1,9303.72
1,2,-336.146,9790.19,-275.833,-1.09666,-0.923084,-0.326522,1.34499e-05,2.39834e-05,-1.94828e-05,87.0233,-32.8679,-34.5062,162.654,10411.2,9190.29
1,3,-351.697,9773.81,-275.797,-0.945541,-0.921619,-0.179529,1.33078e-05,2.40782e-05,-1.87247e-05,87.0273,-32.8748,-34.5143,-800.981,9175.88,9148.13
1,4,-311.033,9759.41,-284.438,-1.08557,-0.915552,-0.178754,1.33217e-05,2.44851e-05,-1.84154e-05,87.0306,-32.8776,-34.5171,350.924,9546.83,9722.52
2,0,-265.629,9746.04,-270.275,-1.22131,-0.955283,-0.398053,1.34942e-05,2.52091e-05,-1.85619e-05,87.0345,-32.8787,-34.5192,1394.57,10261.9,9912.32
2,1,-247.576,9749.28,-221.506,-1.38804,-0.973208,-0.75357,1.37311e-05,2.6062e-05,-1.88936e-05,87.0379,-32.8789,-34.5234,1379.06,11126.5,9751.64
2,2,-266.536,9767.47,-196.074,-1.61951,-1.02243,-0.95158,1.38709e-05,2.65993e-05,-1.92616e-05,87.0404,-32.8781,-34.5287,1008.28,11626.9,9520.9
2,3,-323.693,9783.94,-235.896,-1.68627,-1.18081,-0.673028,1.37971e-05,2.64421e-05,-1.97098e-05,87.0428,-32.8781,-34.5332,367.131,10484.4,9304.71
2,4,-338.814,9819.2,-209.691,-1.82712,-1.0696,-0.573525,1.36549e-05,2.60631e-05,-2.01836e-05,87.0441,-32.8776,-34.5371,478.373,10272.7,10582.3
3,0,-358.142,9865.37,-200.705,-1.81459,-1.26582,-0.944307,1.35128e-05,2.5684e-05,-2.06575e-05,87.0455,-32.8791,-34.5479,478.373,9801.41,9312.54
3,1,-314.699,9863.38,-200.44,-2.07071,-0.697797,-1.14872,1.30222e-05,2.56099e-05,-2.04344e-05,87.0451,-32.8831,-34.5617,676.513,9754.74,8879.04
3,2,-410.343,9862.79,-237.256,-2.01919,-0.796017,-1.02113,1.25044e-05,2.55595e-05,-2.0157e-05,87.046,-32.8879,-34.5778,139.706,10330.4,9381.3
3,3,-413.45,9827.78,-272.38,-1.77401,-0.982815,-1.07335,1.20219e-05,2.55508e-05,-1.99165e-05,87.0484,-32.8941,-34.5944,447.643,10065.5,8326.23
3,4,-398.504,9813.24,-293.96,-1.9345,-1.09518,-0.915131,1.19911e-05,2.59938e-05,-2.0188e-05,87.0496,-32.9019,-34.6114,1052.31,11066.9,8292.46
4,0,-419.009,9809.28,-274.424,-2.20972,-0.958179,-0.600431,1.21806e-05,2.66571e-05,-2.07092e-05,87.049,-32.9106,-34.6283,1432.36,11478.2,8038.27
4,1,-443.875,9802.22,-222.745,-2.28464,-0.732472,-0.323342,1.23562e-05,2.71764e-05,-2.11374e-05,87.0474,-32.9192,-34.6434,672.922,10747.8,7799.08
4,2,-451.16,9817.21,-186.199,-2.2846,-0.576902,-0.149473,1.24774e-05,2.7134e-05,-2.12033e-05,87.0453,-32.9281,-34.6573,-436.443,10312.4,8548.92
4,3,-476.221,9860.62,-185.748,-2.47228,-0.411341,-0.0324751,1.25248e-05,2.63285e-05,-2.07769e-05,87.0426,-32.9382,-34.6734,50.5414,10234.5,8937.58
4,4,-521.112,9850.11,-172.952,-2.85787,-0.456247,0.147043,1.25777e-05,2.55544e-05,-2.03531e-05,87.0375,-32.9501,-34.694,275.273,9143.22,8257.15
5,0,-548.141,9806.65,-174.441,-3.21972,-0.764584,0.372066,1.26745e-05,2.50314e-05,-1.9951e-05,87.0312,-32.9623,-34.7166,478.373,10524.2,9137.09
5,1,-432.97,9821.21,-235.604,-3.32213,-0.474717,0.771752,1.2855e-05,2.49862e-05,-1.95899e-05,87.0262,-32.9747,-34.7327,175.955,10478,8919.59
5,2,-401.469,9855.95,-200.579,-3.71708,-0.773177,0.938968,1.30355e-05,2.49411e-05,-1.92289e-05,87.0161,-32.9857,-34.7469,733.837,10101.2,8667.66
5,3,-403.314,9869.41,-154.559,-3.64162,-1.10088,1.21641,1.3136e-05,2.49627e-05,-1.91214e-05,87.005,-32.9975,-34.7606,311.633,11326.9,9374.68
5,4,-420.581,9877.69,-137.045,-3.35102,-1.08251,1.45266,1.31017e-05,2.50966e-05,-1.94406e-05,86.995,-33.008,-34.7717,945.6,11725.8,9047.27
6,0,-436.919,9875.1,-130.486,-3.11972,-0.786519,1.46666,1.30114e-05,2.52771e-05,-1.9937e-05,86.987,-33.0143,-34.7787,866.257,10754.8,8975.7
6,1,-431.573,9814.47,-98.1207,-3.21405,-0.66386,1.41536,1.2968e-05,2.54576e-05,-2.03399e-05,86.9786,-33.0175,-34.7835,464.91,10374.7,8093.72
6,2,-392.989,9736.21,-66.6145,-3.54596,-0.846708,1.57642,1.30381e-05,2.56381e-05,-2.05155e-05,86.9679,-33.0219,-34.7884,310.143,10634.1,6508.96
6,3,-351.771,9760.77,-113.272,-3.61913,-0.939092,1.88472,1.32187e-05,2.58187e-05,-2.04703e-05,86.9563,-33.031,-34.7945,-756.017,9847.87,7586.1
6,4,-375.984,9834.93,-212.075,-3.31899,-0.88217,1.88285,1.33793e-05,2.59872e-05,-2.04292e-05,86.9469,-33.0443,-34.8037,232.014,10997.8,9231.77
7,0,-353.369,9850.79,-217.461,-3.07531,-0.92817,1.56221,1.33804e-05,2.60601e-05,-2.04199e-05,86.9385,-33.0584,-34.8142,1302.15,10954.6,9264.55
7,1,-365.472,9800.66,-218.342,-3.02019,-0.851197,1.66141,1.31097e-05,2.59699e-05,-2.04651e-05,86.9305,-33.0726,-34.8245,560.751,11438.7,10118.2
7,2,-405.411,9779.15,-262.935,-3.03529,-0.751229,1.78859,1.28389e-05,2.58796e-05,-2.05102e-05,86.9237,-33.0857,-34.8336,217.504,9772.83,8809.35
7,3,-399.783,9792.61,-258.649,-3.28829,-0.433602,1.91517,1.27534e-05,2.58179e-05,-2.04413e-05,86.9162,-33.0962,-34.8399,-434.786,10947.3,8899.89
7,4,-323.27,9780.98,-219.934,-3.45125,-0.400793,2.114,1.29531e-05,2.58e-05,-2.01969e-05,86.9066,-33.1073,-34.8439,-179.212,10300.1,8803.06
8,0,-280.297,9782.64,-195.14,-3.52871,-0.419946,2.13409,1.3269e-05,2.58e-05,-1.9881e-05,86.896,-33.1194,-34.8483,79.4526,9093.23,8421.46
8,1,-324.819,9849.57,-185.426,-3.58323,-0.368387,2.12649,1.34436e-05,2.5825e-05,-1.97397e-05,86.8848,-33.1323,-34.8551,0,9343.67,7940.33
8,2,-398.615,9929.19,-179.88,-3.5691,-0.354239,2.33825,1.32916e-05,2.59075e-05,-2.00017e-05,86.8735,-33.1463,-34.8638,146.492,10299.6,7974.27
8,3,-420.049,9924.29,-191.8,-3.55018,-0.354938,2.57313,1.28403e-05,2.60429e-05,-2.06335e-05,86.8623,-33.1604,-34.8718,693.451,10918.6,8897.63
8,4,-393.517,9893.34,-209.459,-3.81859,-0.395528,2.62653,1.24081e-05,2.6174e-05,-2.12229e-05,86.8509,-33.172,-34.8766,1595.13,12220.6,8312.83
